都道府県,高校名,郵便番号,住所,学校独自URL
富山県,龍谷富山高等学校,930-0855,富山県 富山市赤江町2-10,http://ryukokutoyama-h.jp/
富山県,南砺福野高等学校,939-1521,富山県 南砺市苗島443,https://www.nantofukuno-h.tym.ed.jp/
富山県,高岡南高等学校,939-1104,富山県 高岡市戸出町3-4-2,https://www.takanan-h.tym.ed.jp
富山県,石動高等学校,932-8540,富山県 小矢部市西町6-33,https://www.isurugi-h.tym.ed.jp/
富山県,雄峰高等学校（定時制）,930-0855,富山県 富山市赤江町1-45,http://www.yuho-h.tym.ed.jp/
富山県,南砺平高等学校,939-1912,富山県 南砺市大島1203,https://www.taira-h.tym.ed.jp/
富山県,小矢部園芸高等学校（定時制）,932-0805,富山県 小矢部市西中210,http://www.tym.ed.jp/sc360/
富山県,富山国際大学付属高等学校,930-0175,富山県 富山市願海寺水口444,https://www.tuins-h.ed.jp/
富山県,福岡高等学校,939-0127,富山県 高岡市福岡町上蓑561番地,http://www.fukuoka-h.tym.ed.jp/
富山県,富山工業高等学校（定時制）,930-0887,富山県 富山市五福2238,http://www.tym.ed.jp/sc334/teiji/teijisei.html
富山県,高朋高等学校,931-8452,富山県 富山市東富山寿町1-1-39,https://www.koho.ac.jp/
富山県,高岡龍谷高等学校,933-8517,富山県 高岡市古定塚4-1,https://www.takaokaryukoku-h.ed.jp/
富山県,雄峰高等学校（通信制）,930-0855,富山県 富山市赤江町1-45,http://www.yuho-h.tym.ed.jp/
富山県,となみ野高等学校,932-0114,富山県 小矢部市清水95-1,http://www.tym.ed.jp/sc361/
山口県,慶進高等学校,755-0035,山口県 宇部市西琴芝2-12-18,https://www.keishin-ug.ed.jp/
山口県,宇部鴻城高等学校,759-0207,山口県 宇部市大字際波字的場370,https://www.ubekojo-h.ed.jp/
山口県,高川学園高等学校,747-1292,山口県 防府市台道3635,https://www.takagawagakuen.com/
山口県,聖光高等学校（通信制）,743-0011,山口県 光市光井9-22-1,http://www.seiko-h.ed.jp/tusin2/index.html
山口県,高水高等学校,740-0032,山口県 岩国市尾津町2-24-18,https://www.takamizu.ed.jp/
山口県,サビエル高等学校,756-0080,山口県 山陽小野田市くし山3丁目5-1,https://www.xavier.ed.jp
山口県,光高等学校,743-0011,山口県 光市光井6-10-1,https://www.hikari-h.ysn21.jp/
山口県,山口高等学校,753-8508,山口県 山口市糸米1-9-1,http://www.yamaguchi-h.ysn21.jp/
山口県,田布施農工高等学校,742-1502,山口県 熊毛郡田布施町大字波野195,http://www.tabuse-at.ysn21.jp/
山口県,防府高等学校,747-0803,山口県 防府市岡村町2-1,http://www.hofu-h.ysn21.jp/cms/
山口県,山口県立山口高等学校徳佐分校,759-1512,山口県 山口市阿東徳佐中1033番地1,https://www.yamaguchi-h.ysn21.jp/
山口県,下松高等学校,744-0063,山口県 下松市若宮町12-1,https://www.kudamatsu-h.ysn21.jp/
山口県,岩国高等学校・坂上分校,740-1225,山口県 岩国市美和町渋前1275,https://www.iwakuni-sh.ysn21.jp/
山口県,岩国商業高等学校,741-0072,山口県 岩国市平田5-52-10,http://www.iwakuni-c.ysn21.jp/index.html
山口県,高森高等学校,742-0333,山口県 岩国市玖珂町1253,https://www.takamori-h.ysn21.jp/
山口県,柳井高等学校,742-0032,山口県 柳井市古開作611-1,https://www.yanai-h.ysn21.jp/
山口県,山口県立萩高等学校 奈古分校,759-3622,山口県 阿武郡阿武町奈古柳橋2968-1,https://www.hagi-nh.ysn21.jp/
山口県,熊毛南高等学校,742-1103,山口県 熊毛郡平生町竪ケ浜666,http://www.yunan-h.ysn21.jp/index.html
山口県,山口中央高等学校,753-0043,山口県 山口市宮島町6-1,https://www.yamaguchichuo-h.ysn21.jp/
山口県,岩国総合高等学校,740-0036,山口県 岩国市藤生町4-41-1,https://iwakunisogo-h.jp/
山口県,南陽工業高等学校,746-0036,山口県 周南市温田1-1-1,http://www.nanyo-t.ysn21.jp/
山口県,周防大島高等学校,742-2806,山口県 大島郡周防大島町西安下庄489（安下庄校舎）(久賀校舎；〒742-2301 大島郡周防大島町久賀4851-2),https://www.suo-oshima-h.ysn21.jp/
山口県,徳山商工高等学校,745-0823,山口県 周南市周陽3-1-1,https://www.tokuyama-ct.ysn21.jp/
山口県,熊毛北高等学校,745-0631,山口県 周南市大字安田字追迫1-2,https://www.kumagekita-h.ysn21.jp/
山口県,岩国工業高等学校,741-0061,山口県 岩国市錦見2-4-85,http://www.iwakuni-t.ysn21.jp/
山口県,徳山高等学校,745-0061,山口県 周南市鐘楼町2-50,https://tokuyama-h.ed.jp/
山口県,柳井商工高等学校,742-1352,山口県 柳井市伊保庄2658,http://www.yanai-ct.ysn21.jp/
山口県,下松工業高等学校,744-0073,山口県 下松市美里町4-13-1,https://www.kudamatsu-t.ysn21.jp
山口県,防府商工高等学校,747-0802,山口県 防府市中央町3-1,https://www.hofu-ct.ysn21.jp/
山口県,岩国高等学校,741-0082,山口県 岩国市川西4-6-1,http://www.iwakuni-h.ysn21.jp/
山口県,聖光高等学校,743-0011,山口県 光市光井9-22-1,https://www.seiko-h.ed.jp/
山口県,下関西高等学校,751-0826,山口県 下関市後田町4-10-1,https://shimonishi.ed.jp/
山口県,防府西高等学校,747-1232,山口県 防府市台道36-1,http://www.hofunishi-h.ysn21.jp/
山口県,柳井学園高等学校,742-0032,山口県 柳井市古開作410,https://yanai-g.ed.jp/
山口県,宇部高等学校,755-0078,山口県 宇部市寺の前町3-1,https://www.ube-h.ysn21.jp/
山口県,萩商工高等学校,758-0074,山口県 萩市大字平安古544番地,https://www.hagi-ct.ysn21.jp/
山口県,宇部中央高等学校,755-0039,山口県 宇部市東梶返4丁目10-30,http://www.ubechuo-h.ysn21.jp/kyouiku/
山口県,華陵高等学校,744-0024,山口県 下松市末武上217-2,https://www.karyo-h.ysn21.jp/
山口県,下関中等教育学校,750-0072,山口県 下関市彦島老町2-21-1,https://www.s-chuto.ysn21.jp/
山口県,田部高等学校,750-0313,山口県 下関市菊川町田部1074,http://www.tabe-h.ysn21.jp/
山口県,誠英高等学校,747-0813,山口県 防府市東三田尻1-2-14,https://seiei.ac.jp/
山口県,厚狭明進高等学校,757-0001,山口県 山陽小野田市大字厚狭字束の原1660,https://www.asa-nh.ysn21.jp/
山口県,山口農業高等学校・西市分校,750-0421,山口県 下関市豊田町殿敷834-5,https://www.yamaguchi-na.ysn21.jp/
山口県,豊浦高等学校,752-0984,山口県 下関市長府宮崎町1-1,http://www.toyora.jp/index.php
山口県,宇部西高等学校,759-0202,山口県 宇部市沖ノ旦,http://www.ubenishi-h.ysn21.jp/
山口県,山口農業高等学校,754-0001,山口県 山口市小郡上郷980-1,http://www.yamaguchi-a.ysn21.jp/
山口県,新南陽高等学校,746-0011,山口県 周南市土井1-8-1,http://www.sinnanyo-h.ysn21.jp/
山口県,西京高等学校,753-0851,山口県 山口市黒川2580-1,http://www.saikyo-h.ysn21.jp
山口県,小野田高等学校,756-0080,山口県 山陽小野田市くし山1丁目26-1,https://www.onoda-h.ysn21.jp/
山口県,萩高等学校,758-0057,山口県 萩市堀内132,https://www.hagi-h.ysn21.jp/
山口県,宇部商業高等学校,759-0207,山口県 宇部市際波岡の原220,https://ubesho.jp/
山口県,大津緑洋高等学校,759-4101,山口県 長門市東深川427-2,http://www.ohtsuryokuyou-h.ysn21.jp/
山口県,下関南高等学校,751-0826,山口県 下関市後田町1-8-1,https://www.minami-h.ysn21.jp/
山口県,美祢青嶺高等学校,759-2212,山口県 美祢市大嶺町東分299,https://www.mineseiryo-h.ysn21.jp/
山口県,下関北高等学校,759-5511,山口県 下関市豊北町滝部1003番地,https://www.shimonosekikita-h.ysn21.jp/
山口県,長府高等学校,752-0966,山口県 下関市長府亀の甲2-3-1,http://www.chofu-h.ysn21.jp/
山口県,山口県桜ケ丘高等学校,745-0851,山口県 周南市大字徳山5626-1,https://www.y-sakuragaoka.ed.jp/
山口県,下関工科高等学校,759-6613,山口県 下関市富任町4-1-1,https://www.shimonosekikoka-h.ysn21.jp/
山口県,下関商業高等学校,751-0826,山口県 下関市後田町4-11-1,https://shimosho.ed.jp/
山口県,宇部工業高等学校,755-0036,山口県 宇部市北琴芝1-1-1,https://www.ube-t.ysn21.jp/
山口県,下関双葉高等学校（定時制）,751-0826,山口県 下関市後田町4丁目25-1,https://www.futaba.ysn21.jp/
山口県,下松工業高等学校（定時制）,744-0073,山口県 下松市美里町4-13-1,http://www.kudamatsu-t.ysn21.jp/20teiji/
山口県,下関工科高等学校（定時制）,759-6613,山口県 下関市富任町4-1-1,http://www.sekko-t.ysn21.jp/Hp_nt_.html
山口県,松陰高等学校（通信制）,740-0904,山口県 岩国市錦町宇佐郷507,http://sho-in.ed.jp/
山口県,野田学園高等学校,753-0094,山口県 山口市野田56,https://www.nodagakuen.ed.jp/
山口県,厚狭高等学校南校舎（定時制）,757-0002,山口県 山陽小野田市大字郡字岡崎475,https://www.asa-nh.ysn21.jp/%E3%83%9B%E3%83%BC%E3%83%A0
山口県,山口県鴻城高等学校,754-0002,山口県 山口市小郡下郷258-2,https://www.y-kojohs.jp/
山口県,誠英高等学校（通信制）,747-0813,山口県 防府市東三田尻1-2-14,http://www.seiei.ac.jp/
山口県,防府商工高等学校（定時制）,747-0802,山口県 防府市中央町3-1,https://www.hofu-ct.ysn21.jp/%E3%83%9B%E3%83%BC%E3%83%A0
山口県,長門高等学校,759-4101,山口県 長門市東深川中山1621,https://nagato.ac.jp/
山口県,早鞆高等学校,750-8524,山口県 下関市上田中町8-3-1,https://www.hayatomo.ac.jp/
山口県,萩光塩学院高等学校,758-0047,山口県 萩市東田町15番地,http://www.hagikoen.jp
山口県,精華学園高等学校（広域通信制）,757-0401,山口県 宇部市大字東吉部3397,https://www.seikagakuen.ac.jp/
山口県,成進高等学校,759-2212,山口県 美祢市大嶺町3294番地,https://www.mine-c.ed.jp/
山口県,山口中村学園高等学校,753-8530,山口県 山口市駅通り1-1-1,https://www.y-nakamura.jp/
山口県,下関商業高等学校（定時制）,751-0826,山口県 下関市後田町4-11-1,http://www.shimosho.ed.jp/
山口県,山口高等学校（通信制）,753-8508,山口県 山口市糸米1-9-1,http://www.yamaguchi-h.ysn21.jp/
山口県,梅光学院高等学校,750-0019,山口県 下関市丸山町2-9-1,https://www.baiko.ac.jp/highschool/
山口県,小野田高等学校（定時制）,756-0080,山口県 山陽小野田市くし山1丁目26-1,http://www.onoda-h.ysn21.jp/teiji/
山口県,宇部フロンティア大学付属香川高等学校,755-8560,山口県 宇部市文京町1-25,https://www.kagawa-h.ed.jp/
山口県,宇部工業高等学校（定時制）,755-0036,山口県 宇部市北琴芝1-1-1,http://www.ube-t.ysn21.jp/html/02-course/kikai-teiji.html
山口県,徳山高等学校（定時制）,745-0061,山口県 周南市鐘楼町2-50,http://www.tokuyama-h.ysn21.jp/kyouiku/teiji/basercms/
山口県,下関短期大学付属高等学校,750-8508,山口県 下関市桜山町1-1,https://www.shimotan-hs.jp/
山口県,宇部中央高等学校（定時制）,755-0039,山口県 宇部市東梶返4丁目10-30,http://www.ubechuo-h.ysn21.jp/kyouiku/
山口県,岩国商業高等学校・東分校（定時制）,740-0014,山口県 岩国市日の出町1-60,http://www.iwakuni-hc.ysn21.jp/kyouiku/teiji/
山口県,山口高等学校（定時制）,753-8508,山口県 山口市糸米1-9-1,http://www.yamaguchi-h.ysn21.jp/
山口県,下関西高等学校（定時制）,751-0826,山口県 下関市後田町4-10-1,http://www.shimonishi-h.ysn21.jp/kyouiku/index.html
山口県,下関国際高等学校,751-0862,山口県 下関市大字伊倉字四方山7番地,https://www.shiboyama.ac.jp/
山形県,鶴岡東高等学校,997-0022,山形県 鶴岡市切添町22-30,https://tsuruokahigashi.net/
山形県,基督教独立学園高等学校,999-1292,山形県 西置賜郡小国町叶水826,https://kdg.ed.jp
山形県,米沢中央高等学校,992-0045,山形県 米沢市中央7-5-70-4,http://www.ychuo-h.ed.jp/
山形県,Ｎ高等学校・Ｓ高等学校　山形キャンパス（通信制）,990-0031,山形県 山形市十日町1-1-34リアライズ山形駅前通ビル1階,
山形県,東北文教大学山形城北高等学校,990-0824,山形県 山形市肴町1-13,http://www.johoku.ed.jp/
山形県,庄内総合高等学校,999-7707,山形県 東田川郡庄内町廿六木三ツ車8,http://www.shonaisogo-h.ed.jp/
山形県,新庄東高等学校,996-0051,山形県 新庄市松本596,http://www.shinjohigashi-h.ed.jp/
山形県,酒田南高等学校,998-0031,山形県 酒田市浜田1-3-47,https://www.sakataminami-h.ed.jp/
山形県,惺山高等学校,990-0832,山形県 山形市城西町3-13-7,https://www.seizan.ed.jp/
山形県,日本大学山形高等学校,990-2433,山形県 山形市鳥居ケ丘4-55,https://www.ymgt.hs.nihon-u.ac.jp/
山形県,山形工業高等学校,990-0041,山形県 山形市緑町1-5-12,https://www.yamako.ed.jp/
山形県,置賜農業高等学校,999-0121,山形県 東置賜郡川西町上小松3723,http://www.okitama-ah.ed.jp/
山形県,山形西高等学校,990-2492,山形県 山形市鉄砲町1-15-64,http://yamanishi.webpage21a.jp/
山形県,新庄北高等学校最上校,999-6101,山形県 最上郡最上町大字向町字水上869-2,https://www.shinjokita-h-b.ed.jp/htdocs/
山形県,創学館高等学校,994-0069,山形県 天童市清池東2-10-1,https://sogaku.ed.jp/
山形県,上山明新館高等学校,999-3193,山形県 上山市仙石650,http://www.meishinkan-h.ed.jp/
山形県,北村山高等学校,999-4221,山形県 尾花沢市大字尾花沢1593,http://www.kitamurayama-h.ed.jp/
山形県,鶴岡中央高等学校,997-0017,山形県 鶴岡市大宝寺字日本国410,http://www.tsuruokachuo-h.ed.jp/
山形県,加茂水産高等学校,997-1204,山形県 鶴岡市加茂字大崩595,http://www.kamosuisan-h.ed.jp/
山形県,新庄北高等学校,996-0061,山形県 新庄市飛田備前川61,https://shinkita.jp/
山形県,遊佐高等学校,999-8301,山形県 飽海郡遊佐町遊佐字堅田21-1,http://www.yuza-h.ed.jp/
山形県,酒田東高等学校,998-0842,山形県 酒田市亀ケ崎1-3-60,http://www.sakatahigashi-h.ed.jp/
山形県,山形東高等学校,990-8525,山形県 山形市緑町1-5-87,https://www.yamagatahigashi-h.ed.jp/
山形県,山形明正高等学校,990-2332,山形県 山形市飯田1-1-8,http://www.y-meisei.jp
山形県,南陽高等学校,992-0472,山形県 南陽市宮内4600,https://www.ygt-nanyo-h.ed.jp/
山形県,東海大学山形高等学校,990-2339,山形県 山形市成沢西3-4-5,https://www.ymgt-tokai.ed.jp/
山形県,山形学院高等学校,990-0039,山形県 山形市香澄町3-10-8,https://www.y-gakuin.ac.jp/
山形県,鶴岡工業高等学校（定時制）,997-0036,山形県 鶴岡市家中新町8-1,http://www.tsuruoka-th.ed.jp/teiji/index.html
山形県,米沢東高等学校,992-0052,山形県 米沢市丸の内2-5-63,http://www.yonezawahigashi-h.ed.jp/
山形県,庄内農業高等学校,999-7601,山形県 鶴岡市藤島古楯跡221,http://www.shonai-ah.ed.jp/
山形県,米沢工業高等学校（定時制）,992-0117,山形県 米沢市川井300,http://www.yonezawa-th.ed.jp/
山形県,山形市立商業高等学校,990-2481,山形県 山形市あかねヶ丘1-9-1,http://www.yamagatacity-ch.ed.jp/
山形県,致道館高等学校,997-0037,山形県 鶴岡市若葉町26-31,https://www.chidokan.ed.jp/
山形県,天童高等学校,994-0021,山形県 天童市山元850,http://www.tendo-h.ed.jp/htdocs/
山形県,新庄北高等学校（定時制）,996-0061,山形県 新庄市飛田備前川61,https://sites.google.com/yamagataps.jp/shinkitateijisei/%E3%83%9B%E3%83%BC%E3%83%A0
山形県,高畠高等学校,992-0334,山形県 東置賜郡高畠町大字一本柳2788,http://www.takahata-h.ed.jp/
山形県,新庄神室産業高等学校,996-0051,山形県 新庄市松本370番地,https://shinjokamuro.jp/
山形県,村山産業高等学校,995-0011,山形県 村山市楯岡北町1-3-1,http://www.murayama-ih.ed.jp/
山形県,新庄南高等学校金山校,999-5402,山形県 最上郡金山町金山248-2,http://www.kaneyama-h.ed.jp/
山形県,新庄神室産業高等学校真室川校,999-5312,山形県 最上郡真室川町大字新町字塩野947番地,http://www.mamurogawa-h.ed.jp/
山形県,山辺高等学校,990-0301,山形県 東村山郡山辺町山辺3028,http://www.yamanobe-h.ed.jp/
山形県,山形中央高等学校,990-2492,山形県 山形市鉄砲町2-10-73,http://www.yamagatachuo-h.ed.jp/
山形県,九里学園高等学校,992-0039,山形県 米沢市門東町1-1-72,https://kunori-h.ed.jp/
山形県,学校法人羽黒学園 羽黒高等学校,997-0296,山形県 鶴岡市羽黒町手向字薬師沢198,http://www.haguroko.ed.jp/
山形県,左沢高等学校,990-1121,山形県 西村山郡大江町大字藤田字山中816-3,http://www.aterazawa-h.ed.jp/htdocs/
山形県,山形県立小国高等学校,999-1352,山形県 西置賜郡小国町大字岩井沢621,http://www.ygt-oguni-h.ed.jp/
山形県,寒河江工業高等学校,991-8512,山形県 寒河江市緑町148,https://www.sagae-th.ed.jp/
山形県,山形県立荒砥高等学校,992-0831,山形県 西置賜郡白鷹町大字荒砥甲367番地,http://www.arato-h.ed.jp
山形県,米沢工業高等学校,992-0117,山形県 米沢市大字川井300番地,http://www.yonezawa-th.ed.jp/
山形県,新庄南高等学校,996-0077,山形県 新庄市城南町5-5,https://www.shinjominami-h.ed.jp/
山形県,長井工業高等学校,993-0051,山形県 長井市幸町9-17,http://www.nagai-th.ed.jp/
山形県,山形県立米沢興譲館高等学校,992-1443,山形県 米沢市笹野1101,http://www.yonezawakojokan-h.ed.jp/index.html
山形県,霞城学園高等学校（定時制）,990-8580,山形県 山形市城南町一丁目1番1号,http://www.kajogakuen-h.ed.jp/
山形県,長井高等学校,993-0015,山形県 長井市四ツ谷2-5-1,https://www.nagai-h.ed.jp
山形県,鶴岡工業高等学校,997-0036,山形県 鶴岡市家中新町8-1,http://www.tsuruoka-th.ed.jp/
山形県,山形県立谷地高等学校,999-3511,山形県 西村山郡河北町谷地字田中170,http://www.yachi-h.ed.jp/
山形県,寒河江高等学校,991-8511,山形県 寒河江市六供町2丁目3-9,https://www.sagae-h.ed.jp/
山形県,酒田光陵高等学校,998-0015,山形県 酒田市北千日堂前字松境7番地の3,http://www.sakatakoryo-h.ed.jp/wp/
山形県,東桜学館高等学校,999-3730,山形県 東根市中央南1-7-1,http://www.touohgakkan-jhh.ed.jp/
山形県,和順館高等学校（通信制）,998-0025,山形県 酒田市南千日町4番50号4号館5階,https://www.wajun-honbu.ac.jp/wajunkan/
山形県,酒田西高等学校（定時制）,998-0062,山形県 酒田市北新町1-1-57,https://www.sakatanishi-h.ed.jp/
山梨県,身延山高等学校,409-2597,山梨県 南巨摩郡身延町身延3567,http://www.min.ac.jp/minhi/
山梨県,Ｎ高等学校・Ｓ高等学校　甲府キャンパス（通信制）,400-0034,山梨県 甲府市宝1-20-22GCT甲府ビル3F,
山梨県,日本大学明誠高等学校,409-0195,山梨県 上野原市上野原3200,http://www.meisei.hs.nihon-u.ac.jp/
山梨県,塩山高等学校,404-0047,山梨県 甲州市塩山三日市場440-1,http://www.enzanh.kai.ed.jp/
山梨県,甲府商業高等学校,400-0845,山梨県 甲府市上今井町300,http://www.kchs.city.kofu.yamanashi.jp/
山梨県,白根高等学校,400-0211,山梨県 南アルプス市上今諏訪1180,http://www.shirane-hs.kai.ed.jp/
山梨県,韮崎高等学校,407-0015,山梨県 韮崎市若宮3-2-1,http://www.niratakah.kai.ed.jp/
山梨県,富士河口湖高等学校,401-0301,山梨県 南都留郡富士河口湖町船津6663-1,http://www.kai.ed.jp/kawaguch/
山梨県,韮崎工業高等学校,407-0031,山梨県 韮崎市龍岡町若尾新田50-1,http://www.nirasakith.kai.ed.jp/
山梨県,甲府昭和高等学校,409-3866,山梨県 中巨摩郡昭和町西条3000,http://www.syowah.kai.ed.jp/
山梨県,都留興譲館高等学校,402-0053,山梨県 都留市上谷5-7-1,http://www.tsurukojokan.kai.ed.jp/
山梨県,身延高等学校,409-2531,山梨県 南巨摩郡身延町梅平1201-2,http://www.minobu.kai.ed.jp/
山梨県,巨摩高等学校,400-0306,山梨県 南アルプス市小笠原1500-2,http://www.ko.kai.ed.jp/
山梨県,笛吹高等学校,406-0031,山梨県 笛吹市石和町市部3,http://www.fuefukih.kai.ed.jp
山梨県,日川高等学校,405-0025,山梨県 山梨市一町田中1062,http://www.hikawa.kai.ed.jp/
山梨県,甲府第一高等学校,400-0007,山梨県 甲府市美咲2-13-44,http://www.first.kai.ed.jp/
山梨県,北杜高等学校,408-0023,山梨県 北杜市長坂町渋沢1007-19,http://www.hokutoh.kai.ed.jp/
山梨県,甲陵高等学校,408-0021,山梨県 北杜市長坂町長坂上条2003,http://koryo.main.jp/hs/
山梨県,上野原高等学校,409-0133,山梨県 上野原市八ッ沢555,http://www.kai.ed.jp/ueko/index.htm
山梨県,農林高等学校,400-0117,山梨県 甲斐市西八幡4533,http://www.norinh.kai.ed.jp/
山梨県,甲府東高等学校,400-0805,山梨県 甲府市酒折1-17-1,http://www.kai.ed.jp/higasih/
山梨県,甲府南高等学校,400-0854,山梨県 甲府市中小河原町222,https://www.kofuminami-h.ed.jp/
山梨県,甲府西高等学校,400-0064,山梨県 甲府市下飯田4-1-1,http://www.nishi.kai.ed.jp/
山梨県,都留高等学校,401-0013,山梨県 大月市大月2-11-20,http://www.tsuru-h.ed.jp/
山梨県,青洲高等学校,409-3601,山梨県 西八代郡市川三郷町市川大門1733-2,http://www.seishu.kai.ed.jp/
山梨県,富士北稜高等学校,403-0017,山梨県 富士吉田市新西原1-23-1,http://www.hokuryoh.kai.ed.jp/
山梨県,山梨高等学校,405-0018,山梨県 山梨市上神内川194,http://www.yamah.kai.ed.jp/
山梨県,吉田高等学校,403-0004,山梨県 富士吉田市下吉田6丁目17-1,http://www.yoshidah.kai.ed.jp/
山梨県,甲府城西高等学校,400-0064,山梨県 甲府市下飯田1-9-1,https://www.josaih.kai.ed.jp/
山梨県,甲府工業高等学校,400-0026,山梨県 甲府市塩部2-7-1,https://www.kofu-th.ed.jp/
山梨県,都留高等学校（定時制）,401-0013,山梨県 大月市大月2-11-20,http://www.tsurutei.kai.ed.jp/?doing_wp_cron=1691372358.8427169322967529296875
山梨県,甲斐清和高等学校,400-0867,山梨県 甲府市青沼3-10-1,https://seika.ito-gakuen.ed.jp/
山梨県,駿台甲府高等学校　塩部キャンパス,400-0026,山梨県 甲府市塩部2-8-1,https://www.sundai-kofu.ed.jp/high/index.html
山梨県,日本航空高等学校（通信制）,400-0108,山梨県 甲斐市宇津谷445,http://www.wing-hs.jp/
山梨県,韮崎高等学校（定時制）,407-0015,山梨県 韮崎市若宮3-2-1,http://www.niratei.kai.ed.jp/?doing_wp_cron=1691371697.4206221103668212890625
山梨県,富士学苑高等学校,403-0013,山梨県 富士吉田市緑ケ丘1-1-1,https://gekkouji.ac.jp/
山梨県,甲府工業高等学校（定時制）,400-0026,山梨県 甲府市塩部2-7-1,http://www.kofutei.kai.ed.jp/
山梨県,巨摩高等学校（定時制）,400-0306,山梨県 南アルプス市小笠原1500-2,http://www.komat.kai.ed.jp/
山梨県,駿台甲府高等学校　今井キャンパス,400-0845,山梨県 甲府市上今井町1279-2,https://www.sundai-kofu.ed.jp/art/index.html
山梨県,山梨英和高等学校,400-8507,山梨県 甲府市愛宕町112,http://www.yamanashi-eiwa.ac.jp/jsh/
山梨県,帝京第三高等学校,408-0044,山梨県 北杜市小淵沢町2148,https://www.teikyo3.ed.jp/
山梨県,ひばりが丘高等学校（定時制）,403-0032,山梨県 富士吉田市上吉田東4丁目3-1,https://www.hibarih.kai.ed.jp/
山梨県,山梨学院高等学校,400-0805,山梨県 甲府市酒折3-3-1,http://www.yghs.ed.jp
山梨県,自然学園高等学校（通信制）,408-0101,山梨県 北杜市須玉町小尾6900,http://shizengakuen.ed.jp/
山梨県,中央高等学校（定時制）,400-0035,山梨県 甲府市飯田5-6-23,http://www.kai.ed.jp/chuouh/index.htm
山梨県,日本航空高等学校,400-0108,山梨県 甲斐市宇津谷445,http://www.jaaw-hs.net
山梨県,駿台甲府高等学校通信制課程,400-0026,山梨県 甲府市塩部2丁目8-1,https://www.sundai-kofu.ed.jp/corr/index.html
山梨県,山梨高等学校（定時制）,405-0018,山梨県 山梨市上神内川194,http://www.yamatei.kai.ed.jp/?doing_wp_cron=1691372268.6820819377899169921875
山梨県,中央高等学校（通信制）,400-0035,山梨県 甲府市飯田5-6-23,http://www.chuouh.kai.ed.jp/
山梨県,東海大学付属甲府高等学校,400-0063,山梨県 甲府市金竹町1-1,https://www.kofu.tokai.ed.jp/
岐阜県,中京高等学校,509-6101,岐阜県 瑞浪市土岐町7074-1,https://www.chukyo-ch.ed.jp/zennichi/
岐阜県,麗澤瑞浪高等学校,509-6102,岐阜県 瑞浪市稲津町萩原1661,https://www.mz.reitaku.jp/
岐阜県,Ｎ高等学校・Ｓ高等学校　岐阜キャンパス（通信制）,500-8833,岐阜県 岐阜市神田町9-20G-Front 3階,
岐阜県,西濃学園高等学校,501-0706,岐阜県 揖斐郡揖斐川町西津汲481-3,https://seino-gakuen.ed.jp
岐阜県,揖斐高等学校,501-0619,岐阜県 揖斐郡揖斐川町三輪1852,https://school.gifu-net.ed.jp/ibi-hs/
岐阜県,郡上北高等学校,501-5122,岐阜県 郡上市白鳥町為真1265-2,http://school.gifu-net.ed.jp/gujyokita-hs/
岐阜県,岐阜高等学校,500-8889,岐阜県 岐阜市大縄場3-1,https://school.gifu-net.ed.jp/wordpress/gifu-hs/
岐阜県,大垣桜高等学校,503-0103,岐阜県 大垣市墨俣町上宿465番地-1,http://school.gifu-net.ed.jp/ogksakura-hs/
岐阜県,岐阜北高等学校,502-0931,岐阜県 岐阜市則武清水1841-11,https://school.gifu-net.ed.jp/wordpress/gifukita-hs/
岐阜県,関有知高等学校,501-3217,岐阜県 関市下有知松ケ洞6191-3,https://school.gifu-net.ed.jp/wordpress/sekiuchi-hs/
岐阜県,大垣南高等学校,503-8522,岐阜県 大垣市浅中2-69,https://school.gifu-net.ed.jp/ogkminami-hs/nanko/index.html
岐阜県,岐阜農林高等学校,501-0431,岐阜県 本巣郡北方町北方150,https://school.gifu-net.ed.jp/gifu-ahs/
岐阜県,岐南工業高等学校,500-8389,岐阜県 岐阜市本荘3456-19,https://school.gifu-net.ed.jp/wordpress/ginan-ths/
岐阜県,山県高等学校,501-2258,岐阜県 山県市中洞44-1,http://school.gifu-net.ed.jp/yamagata-hs/
岐阜県,羽島高等学校,501-6241,岐阜県 羽島市竹鼻町梅ヶ枝町200-2,https://school.gifu-net.ed.jp/wordpress/hasima-hs/
岐阜県,長良高等学校,502-0071,岐阜県 岐阜市長良西後町1716-1,http://school.gifu-net.ed.jp/nagara-hs/
岐阜県,各務原高等学校,504-8585,岐阜県 各務原市蘇原新生町2-63,https://school.gifu-net.ed.jp/wordpress/kaku-hs/
岐阜県,郡上高等学校,501-4221,岐阜県 郡上市八幡町小野970,https://school.gifu-net.ed.jp/gujyo-hs/
岐阜県,武義高等学校,501-3729,岐阜県 美濃市泉町2-3,https://school.gifu-net.ed.jp/mugi-hs/
岐阜県,県立岐阜商業高等学校,502-0931,岐阜県 岐阜市則武新屋敷1816-6,https://school.gifu-net.ed.jp/wordpress/gifu-chs/
岐阜県,大垣工業高等学校,503-8521,岐阜県 大垣市南若森町301-1,https://school.gifu-net.ed.jp/ogaki-ths/
岐阜県,岐山高等学校,502-0071,岐阜県 岐阜市長良小山田2587-1,https://school.gifu-net.ed.jp/gizan-hs/
岐阜県,大垣商業高等学校,503-0002,岐阜県 大垣市開発町4-300,https://school.gifu-net.ed.jp/wordpress/ogaki-chs/
岐阜県,大垣北高等学校,503-0017,岐阜県 大垣市中川町4-110-1,http://school.gifu-net.ed.jp/ogkkita-hs/
