高校名,学校独自URL,生徒数,国公立合格者数,合格率
荻窪高等学校（定時制）,https://ogikubo-h.metro.ed.jp/site/tei/,-,-,-
駒場高等学校,https://www.metro.ed.jp/komaba-h/,-,-,-
鷺宮高等学校,https://www.metro.ed.jp/saginomiya-h/,-,-,-
北園高等学校,https://www.metro.ed.jp/kitazono-h/,-,-,-
神津高等学校,https://www.metro.ed.jp/kouzu-h/,-,-,-
葛飾商業高等学校,https://www.metro.ed.jp/katsushikasyogyo-h/,-,-,-
江北高等学校,https://www.metro.ed.jp/kohoku-h/,-,-,-
国分寺高等学校,https://www.metro.ed.jp/kokubunji-h/,-,-,-
板橋有徳高等学校,http://www.itabashiyutoku-h.metro.tokyo.jp/,-,-,-
江東商業高等学校,https://www.metro.ed.jp/kotosyogyo-h/,-,-,-
久留米西高等学校,https://www.metro.ed.jp/kurumenishi-h/,-,-,-
石神井高等学校,https://www.metro.ed.jp/shakujii-h/,-,-,-
東京都立工芸高等学校,https://www.metro.ed.jp/kogei-h/,-,-,-
東京都立狛江高等学校,https://www.metro.ed.jp/komae-h/,-,-,-
葛飾野高等学校,http://www.metro.ed.jp/katsushikano-h/,-,-,-
日本橋高等学校,http://www.nihonbashi-h.metro.tokyo.jp/,-,-,-
田無工科高等学校,https://www.metro.ed.jp/tanashikoka-h/,-,-,-
豊多摩高等学校,http://www.toyotama-h.metro.tokyo.jp/,-,-,-
西高等学校,https://www.metro.ed.jp/nishi-h/,-,-,-
新宿高等学校,https://www.metro.ed.jp/shinjuku-h/,-,-,-
豊島高等学校,http://www.toshima-h.metro.tokyo.jp/,-,-,-
神代高等学校,http://www.jindai-h.metro.tokyo.jp/,-,-,-
新島高等学校,https://www.metro.ed.jp/niijima-h/,-,-,-
多摩工科高等学校,https://www.metro.ed.jp/tamakoka-h/,-,-,-
高島高等学校,http://www.takashima-h.metro.tokyo.jp/,-,-,-
練馬工科高等学校,https://www.metro.ed.jp/nerimakoka-h/,-,-,-
東京都立第三商業高等学校,https://www.metro.ed.jp/daisansyogyo-h/,-,-,-
竹台高等学校,https://www.metro.ed.jp/takenodai-h/,-,-,-
竹早高等学校,http://www.takehaya-h.metro.tokyo.jp,-,-,-
杉並高等学校,https://www.metro.ed.jp/suginami-h/,-,-,-
昭和高等学校,http://www.showa-h.metro.tokyo.jp/,-,-,-
中野工科高等学校,https://www.metro.ed.jp/nakanokoka-h/,-,-,-
永山高等学校,https://www.metro.ed.jp/nagayama-h/,-,-,-
第一商業高等学校,https://www.metro.ed.jp/daiichishogyo-h/,-,-,-
田園調布高等学校,https://www.metro.ed.jp/den-enchofu-h/,-,-,-
杉並工科高等学校,https://www.metro.ed.jp/suginamikoka-h/,-,-,-
調布北高等学校,https://www.metro.ed.jp/chofukita-h/,-,-,-
多摩高等学校,https://www.metro.ed.jp/tama-h/,-,-,-
第四商業高等学校,http://www.daiyonshogyo-h.metro.tokyo.jp/,-,-,-
千歳丘高等学校,http://www.chitosegaoka-h.metro.tokyo.jp/site/zen/,-,-,-
立川高等学校,https://www.metro.ed.jp/tachikawa-h/,-,-,-
練馬高等学校,http://www.nerima-h.metro.tokyo.jp/,-,-,-
芦花高等学校,https://www.metro.ed.jp/roka-h/,-,-,-
戸山高等学校,http://www.toyama-h.metro.tokyo.jp/,-,-,-
